"date","energy","impact_e","lat","lat_dir","lon","lon_dir","alt","vel"
2008-11-21,14.2,0.41,53.1,"N",109.9,"W",28.2,12.9
2008-11-18,2.5,0.089,-29.4,"S",-75.9,"E",35.2,22.4
2008-11-09,22.2,0.61,14.5,"N",-112.7,"E",29.6,NA
2008-10-21,4.6,0.15,32.8,"N",165.6,"W",29.6,11.3
2008-10-10,18,0.51,-57.3,"S",-17,"E",21.4,NA
2008-10-07,39.5,1,20.9,"N",-31.4,"E",38.9,13.3
2008-09-09,5.9,0.19,NA,NA,NA,NA,NA,NA
2008-08-16,13.1,0.38,11.3,"N",-97.2,"E",NA,NA
2008-08-12,2,0.073,-11.6,"S",175,"W",NA,NA
2008-08-07,4.1,0.14,18.5,"N",-180,"E",45.4,13.8
2008-07-23,12.1,0.36,38.6,"N",-68,"E",31.5,14.5
2008-07-22,6.1,0.2,-17.8,"S",89.2,"W",54.4,NA
2008-07-11,5.2,0.17,NA,NA,NA,NA,NA,NA
2008-07-08,6.6,0.21,72.8,"N",-147.3,"E",52.2,21.7
2008-07-01,3.6,0.12,37.1,"N",115.7,"W",36.1,9.8
2008-06-27,17.2,0.49,-26.9,"S",17.7,"W",33.7,23.1
2008-06-18,2.1,0.076,6.1,"N",-103.1,"E",NA,NA
2008-05-29,2.1,0.076,15.7,"N",83.5,"W",NA,NA
2008-05-24,15,0.43,0.8,"N",-162,"E",37,14.2
2008-05-22,2.1,0.076,46.9,"N",-134.5,"E",NA,NA
2008-05-06,5.7,0.18,NA,NA,NA,NA,NA,NA
2008-04-30,2,0.073,-33.6,"S",35.1,"W",NA,NA
2008-04-06,7.7,0.24,NA,NA,NA,NA,NA,NA
2008-03-15,5,0.16,28,"N",41.5,"W",26.7,12.9
2008-02-24,7.4,0.23,NA,NA,NA,NA,NA,NA
2008-02-19,2,0.073,48.9,"N",119.8,"W",NA,NA
2008-02-18,5,0.16,NA,NA,NA,NA,NA,NA
2008-02-17,11,0.33,74.9,"N",73.4,"W",40.4,13.9
2008-02-16,7.1,0.22,NA,NA,NA,NA,NA,NA
2008-01-18,4.4,0.15,NA,NA,NA,NA,NA,NA
2008-01-09,4.1,0.14,-66.8,"S",67.3,"W",31.5,11.6
2007-12-26,13.6,0.4,-61.6,"S",158.9,"W",NA,NA
2007-12-20,12.2,0.36,51.3,"N",-115.4,"E",NA,NA
2007-10-25,5.8,0.19,-40.9,"S",-91.3,"E",46.3,NA
2007-10-12,3.3,0.11,88.5,"N",-116.6,"E",37,18.4
